"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
418,1,1,1,1,1,1,1,20251214,20260731
419,1,1,1,1,1,1,1,20251214,20260731
420,1,1,1,1,1,1,0,20251214,20260731
421,0,0,0,0,0,1,0,20251214,20260731
422,1,1,1,1,1,0,0,20251214,20260731
424,1,1,1,1,1,0,0,20251214,20260731
425,0,0,0,0,0,0,1,20251214,20260731
426,1,1,1,1,1,1,1,20251214,20260731
427,0,0,0,0,0,1,0,20251214,20260731
428,0,0,0,0,1,1,0,20251214,20260731
429,0,0,0,0,0,0,1,20251214,20260731
430,0,0,0,0,0,0,1,20251214,20260731
431,1,1,1,1,1,0,1,20251214,20260731
432,0,0,0,0,0,1,0,20251214,20260731
433,1,1,1,1,1,0,0,20251214,20260731
436,0,0,0,0,0,0,1,20251214,20260731
437,1,1,1,1,1,1,0,20251214,20260731
439,1,1,1,1,1,0,0,20251214,20260731
440,1,1,1,1,1,1,0,20251214,20260731
441,1,1,1,1,1,1,0,20251214,20260731
442,0,0,0,0,0,1,0,20251214,20260731
443,1,1,1,1,1,0,0,20251214,20260731
444,1,1,1,1,1,0,0,20251214,20260731
445,0,0,0,0,0,1,0,20251214,20260731
447,0,0,0,0,0,1,0,20251214,20260731
448,0,0,0,0,0,1,1,20251214,20260731
449,0,1,1,0,0,1,0,20251214,20260731
450,0,1,0,0,0,1,0,20251214,20260731
451,0,0,0,0,0,1,1,20251214,20260731
452,1,1,0,1,1,1,1,20251214,20260731
454,0,0,0,0,0,0,1,20251214,20260731
456,1,1,1,1,1,0,0,20251214,20260731
457,1,1,1,1,1,1,0,20251214,20260731
458,0,0,0,0,0,1,0,20251214,20260731
459,1,1,1,1,1,1,0,20251214,20260731
463,1,1,1,1,1,0,1,20251214,20260731
464,0,0,0,0,0,0,1,20251214,20260731
467,1,1,1,1,1,1,0,20251214,20260731
468,0,0,0,0,0,1,0,20251214,20260731
470,1,1,1,1,1,1,0,20251214,20260731
471,1,1,1,1,1,1,1,20251214,20260731
472,1,1,1,1,1,1,1,20251214,20260731
473,1,1,1,1,1,1,1,20251214,20260731
478,1,1,1,1,1,1,0,20251214,20260731
479,1,1,1,1,1,1,0,20251214,20260731
483,0,0,0,0,0,0,1,20251214,20260731
489,1,1,1,1,1,1,1,20251214,20260731
490,1,1,1,1,1,1,1,20251214,20260731
491,0,0,1,0,0,0,0,20251214,20260731
492,1,1,1,0,1,1,0,20251214,20260731
497,0,0,0,0,0,0,1,20251214,20260731
498,0,0,0,0,0,1,0,20251214,20260731
499,1,1,1,1,1,0,1,20251214,20260731
502,0,0,0,0,0,0,1,20251214,20260731
503,1,1,1,1,1,1,1,20251214,20260731
505,0,0,0,1,1,0,0,20251214,20260731
511,1,1,1,1,1,0,0,20251214,20260731
512,0,0,0,0,0,1,0,20251214,20260731
516,0,0,0,0,0,1,0,20251214,20260731
518,0,0,0,0,0,1,1,20251214,20260731
519,1,1,1,1,1,1,1,20251214,20260731
520,0,0,1,1,1,0,0,20251214,20260731
527,1,1,1,1,1,0,0,20251214,20260731
528,1,1,1,1,1,1,0,20251214,20260731
529,1,1,1,1,1,1,0,20251214,20260731
530,0,0,0,0,0,0,1,20251214,20260731
531,1,1,1,1,1,1,0,20251214,20260731
532,1,1,1,1,1,1,0,20251214,20260731
533,0,0,0,0,0,0,1,20251214,20260731
534,1,1,1,1,1,1,0,20251214,20260731
535,0,0,0,0,0,1,0,20251214,20260731
536,1,1,1,1,1,0,0,20251214,20260731
537,1,1,1,1,1,0,1,20251214,20260731
543,1,1,1,0,1,1,0,20251214,20260731
544,0,0,0,0,0,0,1,20251214,20260731
548,0,0,0,0,0,0,1,20251214,20260731
549,1,1,1,1,1,0,0,20251214,20260731
550,0,0,0,0,0,1,0,20251214,20260731
551,0,0,0,0,0,1,0,20251214,20260731
554,1,1,1,1,1,1,0,20251214,20260731
555,1,1,1,1,1,1,0,20251214,20260731
556,1,1,1,1,1,1,1,20251214,20260731
563,0,0,0,0,0,0,1,20251214,20260731
566,0,0,0,0,1,1,0,20251214,20260731
567,0,0,0,0,0,1,0,20251214,20260731
572,1,1,1,1,1,1,0,20251214,20260731
576,1,1,1,1,1,1,0,20251214,20260731
579,0,0,0,1,1,0,0,20251214,20260731
583,0,0,0,0,0,0,1,20251214,20260731
584,0,0,0,0,0,1,0,20251214,20260731
585,1,1,1,1,1,1,0,20251214,20260731
586,1,1,1,1,1,1,0,20251214,20260731
587,0,0,0,0,0,1,0,20251214,20260731
588,1,1,1,1,1,0,0,20251214,20260731
589,0,0,0,0,0,1,0,20251214,20260731
590,0,0,0,0,0,1,0,20251214,20260731
593,0,0,0,0,0,0,1,20251214,20260731
594,0,0,0,0,0,0,1,20251214,20260731
595,1,1,1,1,1,0,0,20251214,20260731
596,1,1,1,1,1,1,0,20251214,20260731
597,0,0,0,0,0,1,0,20251214,20260731
598,0,0,0,0,0,0,1,20251214,20260731
599,1,1,1,1,1,0,1,20251214,20260731
601,1,1,1,1,1,1,0,20251214,20260731
602,0,0,0,0,0,1,0,20251214,20260731
604,0,0,0,0,0,1,1,20251214,20260731
605,0,0,0,0,0,0,1,20251214,20260731
606,0,0,0,0,0,1,0,20251214,20260731
607,0,0,0,0,0,1,0,20251214,20260731
608,1,1,1,1,1,1,1,20251214,20260731
610,1,1,1,1,0,0,1,20251214,20260731
611,0,0,0,0,1,1,0,20251214,20260731
612,0,0,0,0,0,0,1,20251214,20260731
614,1,1,1,1,1,0,0,20251214,20260731
615,0,0,0,0,0,1,1,20251214,20260731
616,1,1,1,1,1,1,0,20251214,20260731
618,0,0,0,0,0,0,1,20251214,20260731
619,1,1,1,1,1,1,1,20251214,20260731
620,1,1,1,1,1,1,1,20251214,20260731
624,0,0,0,0,0,1,0,20251214,20260731
629,0,0,0,0,0,0,1,20251214,20260731
631,0,0,0,0,0,1,0,20251214,20260731
632,1,1,0,1,0,0,0,20251214,20260731
633,0,0,0,0,0,1,0,20251214,20260731
634,1,1,0,0,0,0,0,20251214,20260731
637,0,0,0,0,0,1,0,20251214,20260731
639,0,0,0,0,0,1,0,20251214,20260731
640,1,1,1,1,1,1,0,20251214,20260731
646,0,0,0,0,0,1,0,20251214,20260731
647,0,0,0,0,0,0,1,20251214,20260731
649,0,0,0,0,0,0,1,20251214,20260731
650,0,0,0,0,0,1,0,20251214,20260731
653,1,1,0,1,0,0,1,20251214,20260731
655,0,0,0,0,0,1,1,20251214,20260731
656,1,1,1,1,1,1,1,20251214,20260731
657,1,1,1,1,1,0,0,20251214,20260731
662,1,1,1,1,1,1,0,20251214,20260731
663,0,0,0,0,0,1,1,20251214,20260731
665,1,1,1,0,1,1,0,20251214,20260731
667,0,0,0,0,0,0,1,20251214,20260731
671,0,0,0,0,0,0,1,20251214,20260731
